"","state","county","latitude","longitude"
"128","LA","Avoyelles",31.0601705,-92.0107922142857
"129","CO","Baca",37.3429403333333,-102.542615833333
"130","GA","Bacon",31.576952,-82.461197
"131","TX","Bailey",33.93831375,-102.8095395
"132","FL","Baker",30.3096595,-82.234791
"133","GA","Baker",31.37168,-84.338325
"134","OR","Baker",44.6857136363636,-117.627372636364
"135","AL","Baldwin",30.5872017692308,-87.7190561153846
"136","GA","Baldwin",33.0606916666667,-83.2369676666667
"137","KY","Ballard",37.0714026666667,-88.9326023333333
"138","MD","Baltimore",39.4291238113208,-76.618075
"139","MD","Baltimore City",39.2998848139535,-76.6179483255814
"140","SC","Bamberg",33.17777825,-81.0687915
"141","TX","Bandera",29.7185394,-99.125173
"142","GA","Banks",34.36541,-83.503056
"143","NE","Banner",41.546441,-103.710045
"144","ID","Bannock",42.6467079166667,-112.247694333333
"145","MI","Baraga",46.7340556,-88.41639
"146","KS","Barber",37.236921375,-98.624044125
"147","AL","Barbour",31.8161686,-85.4180688
"148","WV","Barbour",39.0947202857143,-80.000361
"149","PR","Barceloneta",18.447092,-66.544255
"150","ND","Barnes",46.88595725,-98.0955841666667
"151","MA","Barnstable",41.7617902807018,-70.2411746315789
"152","SC","Barnwell",33.318709,-81.376907
"153","PR","Barranquitas",18.200898,-66.307236
"154","KY","Barren",36.9382704444444,-85.923644
"155","WI","Barron",45.4453870666667,-91.8793940666667
"156","GA","Barrow",33.9825555,-83.709069
"157","MI","Barry",42.6223286666667,-85.3158053333333
"158","MO","Barry",36.7054151818182,-93.9064839090909
"159","IN","Bartholomew",39.1955822,-85.8315828
"160","KS","Barton",38.4739898571429,-98.808558
"161","MO","Barton",37.4849072,-94.3779372
"162","GA","Bartow",34.2259155555556,-84.8398427777778
"163","TX","Bastrop",30.110287,-97.3150695
"164","MO","Bates",38.2596367,-94.387739
"165","KY","Bath",38.130183,-83.7497204
"166","VA","Bath",38.0431374,-79.7634122
"167","AR","Baxter",36.3306923333333,-92.38756225
"168","FL","Bay",30.2101355,-85.6653480555556
"169","MI","Bay",43.6780636363636,-83.9567504545455
"170","PR","Bayamon",18.3611728571429,-66.1691171428571
"171","WI","Bayfield",46.636739,-91.1438870909091
"172","TX","Baylor",33.620131,-99.263681
"173","SD","Beadle",44.4221425,-98.319151375
"174","ID","Bear Lake",42.2347397777778,-111.341718555556
"175","NC","Beaufort",35.4758492222222,-76.8393427777778
"176","SC","Beaufort",32.3875367222222,-80.7024271666667
"177","LA","Beauregard",30.6556504285714,-93.216286
"178","OK","Beaver",36.8022728333333,-100.560399666667
"179","PA","Beaver",40.6918268,-80.3209537
"180","UT","Beaver",38.2679315,-112.93889425
"181","MT","Beaverhead",45.304600125,-113.020614875
"182","MN","Becker",46.9202583846154,-95.6971443076923
"183","OK","Beckham",35.2617341666667,-99.7139826666667
"184","PA","Bedford",40.08183784,-78.44706156
"185","TN","Bedford",35.5202842857143,-86.4306921428571
"186","VA","Bedford",37.32541825,-79.5402825833333
"187","VA","Bedford City",37.336027,-79.522585
"188","TX","Bee",28.4100147777778,-97.750528
"189","NH","Belknap",43.5084248333333,-71.4278915555556
"190","KY","Bell",36.7503209090909,-83.7059857272727
"191","TX","Bell",31.0321335384615,-97.4769687692308
"192","OH","Belmont",40.0474136153846,-80.9269350384615
"193","MN","Beltrami",47.8690085714286,-94.8713688571429
"194","GA","Ben Hill",31.748753,-83.235412
"195","ID","Benewah",47.1805773333333,-116.7170045
"196","SD","Bennett",43.186188,-101.690909333333
"197","VT","Bennington",43.0183255882353,-73.1006355882353
"198","ND","Benson",48.1050999166667,-99.30900475
"199","CO","Bent",37.9806615,-103.015716
"200","AR","Benton",36.3616203809524,-94.2637158571429
"201","IA","Benton",42.0293364666667,-92.0300726
"202","IN","Benton",40.57943125,-87.306328375
"203","MN","Benton",45.697313,-93.9971886
"204","MO","Benton",38.3702986,-93.3182956
"205","MS","Benton",34.717951,-89.1762103333333
"206","OR","Benton",44.511114875,-123.403678875
"207","TN","Benton",36.08743025,-88.0521455
"208","WA","Benton",46.1402458888889,-119.408499555556
"209","MI","Benzie",44.6309307142857,-86.0482744285714
"210","NJ","Bergen",40.9294267681159,-74.0550729130435
